Tipo FB,Bench FB CPC,Bench FB CPAction,Bench FB CTR,Bench FB AvgCR
Apparel,0.45,10.98,1.24,4.11
Automotive,2.24,43.84,0.8,5.11
Beauty,1.81,25.49,1.16,7.1
Consumer Services,3.08,31.11,0.62,9.96
Education,1.06,7.85,0.73,13.58
Employment & Job Training,2.72,23.24,0.47,11.73
Finance & Insurance,3.77,41.43,0.56,9.09
Fitness,1.9,13.29,1.01,14.29
Home Improvement,2.93,44.66,0.7,6.56
Healthcare,1.32,12.31,0.83,11
Industrial Services,2.14,38.21,0.71,0.71
Legal,1.32,28.7,1.61,5.6
Real Estate,1.81,16.92,0.99,10.68
Retail,0.7,21.47,1.59,3.26
Technology,1.27,55.21,1.04,2.31
Travel & Hospitality,0.63,22.5,0.9,2.82
Ninguna de las anteriores,1.86,18.68,0.9,9.21
